Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0	0.435	0.445	0.447	0.426	0.449	0.456	0.432	0.458	0.447	0.433	0.446	0.436	0.463	0.468	0.471	0.449	0.449	0.448	0.438	0.446	0.457	0.427	0.474	0.451	0.454	0.464	0.457	0.46	0.466	0.451	0.439	0.436	0.445	0.415	0.433	0.437	0.47	0.478	0.48	0.459	0.479	0.466	0.455	0.475	0.461	0.429	0.459	0.445	0.463	0.48	0.48	0.469	0.47	0.476	0.456	0.48	0.475	0.458	0.473	0.475	0.459	0.466	0.462	0.464	0.468	0.473	0.039	0.036	0.039	0.037	0.044	0.036	0.452	0.46	0.473	0.466	0.472	0.476	0.469	0.469	0.478	0.476	0.038	0.037	0.455	0.464	0.469	0.457	0.466	0.487	0.464	0.48	0.487	0.468	0.488	0.484
15	0.429	0.435	0.441	0.429	0.45	0.457	0.432	0.46	0.456	0.434	0.448	0.441	0.439	0.448	0.455	0.444	0.443	0.44	0.431	0.441	0.439	0.43	0.442	0.431	0.451	0.464	0.473	0.458	0.465	0.472	0.457	0.464	0.452	0.427	0.455	0.45	0.464	0.476	0.479	0.457	0.479	0.481	0.465	0.478	0.461	0.44	0.46	0.45	0.453	0.469	0.469	0.45	0.468	0.461	0.447	0.453	0.462	0.443	0.446	0.462	0.446	0.455	0.457	0.452	0.456	0.458	0.039	0.036	0.039	0.037	0.044	0.036	0.443	0.45	0.461	0.451	0.459	0.463	0.462	0.448	0.477	0.47	0.038	0.036	0.44	0.45	0.459	0.45	0.457	0.472	0.452	0.463	0.463	0.459	0.468	0.472
30	0.425	0.446	0.439	0.414	0.442	0.449	0.416	0.441	0.439	0.423	0.45	0.419	0.433	0.45	0.447	0.44	0.446	0.446	0.434	0.452	0.436	0.424	0.44	0.441	0.449	0.468	0.476	0.457	0.465	0.48	0.45	0.463	0.451	0.424	0.445	0.438	0.462	0.478	0.48	0.463	0.472	0.467	0.462	0.463	0.452	0.428	0.452	0.447	0.449	0.458	0.471	0.468	0.474	0.471	0.462	0.483	0.479	0.457	0.478	0.474	0.437	0.449	0.46	0.45	0.447	0.454	0.038	0.035	0.038	0.036	0.043	0.035	0.434	0.445	0.453	0.456	0.453	0.451	0.455	0.434	0.451	0.456	0.037	0.036	0.434	0.446	0.451	0.439	0.454	0.462	0.44	0.454	0.454	0.446	0.447	0.458
45	0.421	0.437	0.433	0.411	0.437	0.439	0.413	0.431	0.427	0.407	0.436	0.418	0.431	0.45	0.443	0.441	0.449	0.445	0.439	0.453	0.44	0.422	0.431	0.422	0.446	0.465	0.469	0.45	0.458	0.475	0.448	0.467	0.444	0.431	0.449	0.452	0.45	0.472	0.473	0.448	0.466	0.468	0.456	0.481	0.465	0.434	0.459	0.462	0.442	0.456	0.467	0.459	0.471	0.464	0.453	0.477	0.473	0.453	0.47	0.465	0.431	0.44	0.438	0.438	0.45	0.439	0.038	0.035	0.038	0.036	0.042	0.036	0.43	0.439	0.445	0.445	0.458	0.453	0.453	0.44	0.452	0.45	0.037	0.036	0.428	0.434	0.442	0.431	0.44	0.446	0.427	0.443	0.443	0.435	0.442	0.443
60	0.412	0.426	0.433	0.416	0.436	0.449	0.417	0.438	0.414	0.403	0.419	0.401	0.422	0.44	0.433	0.429	0.432	0.429	0.423	0.436	0.428	0.416	0.426	0.424	0.44	0.455	0.463	0.449	0.45	0.456	0.435	0.457	0.434	0.417	0.435	0.434	0.456	0.462	0.467	0.456	0.472	0.47	0.46	0.486	0.469	0.436	0.473	0.462	0.437	0.454	0.462	0.461	0.468	0.46	0.452	0.47	0.466	0.448	0.467	0.452	0.43	0.449	0.45	0.442	0.439	0.445	0.038	0.036	0.038	0.036	0.043	0.036	0.422	0.435	0.444	0.441	0.445	0.446	0.452	0.436	0.451	0.451	0.037	0.036	0.421	0.436	0.441	0.428	0.438	0.437	0.425	0.44	0.445	0.427	0.431	0.437
75	0.403	0.426	0.428	0.415	0.436	0.439	0.406	0.441	0.432	0.409	0.413	0.406	0.42	0.443	0.438	0.429	0.428	0.419	0.406	0.418	0.425	0.398	0.416	0.407	0.426	0.441	0.436	0.441	0.445	0.443	0.433	0.443	0.438	0.414	0.436	0.434	0.455	0.47	0.467	0.44	0.456	0.459	0.44	0.46	0.448	0.416	0.442	0.427	0.436	0.451	0.461	0.457	0.468	0.464	0.446	0.471	0.463	0.435	0.459	0.453	0.432	0.444	0.443	0.435	0.437	0.436	0.038	0.035	0.038	0.036	0.042	0.036	0.423	0.437	0.445	0.439	0.447	0.449	0.448	0.436	0.446	0.449	0.036	0.036	0.414	0.426	0.437	0.423	0.433	0.439	0.418	0.429	0.44	0.427	0.433	0.438
90	0.401	0.427	0.434	0.417	0.438	0.444	0.414	0.433	0.434	0.41	0.421	0.409	0.426	0.448	0.436	0.426	0.421	0.413	0.401	0.409	0.406	0.394	0.4	0.388	0.429	0.44	0.449	0.45	0.45	0.461	0.443	0.459	0.438	0.425	0.434	0.433	0.447	0.463	0.463	0.449	0.461	0.457	0.448	0.469	0.456	0.425	0.456	0.433	0.435	0.452	0.46	0.453	0.462	0.459	0.446	0.463	0.455	0.45	0.471	0.439	0.421	0.431	0.431	0.419	0.421	0.417	0.039	0.035	0.039	0.036	0.043	0.036	0.415	0.425	0.429	0.421	0.428	0.428	0.424	0.404	0.425	0.408	0.037	0.036	0.422	0.435	0.437	0.422	0.436	0.441	0.42	0.436	0.436	0.42	0.438	0.426
105	0.405	0.422	0.427	0.411	0.44	0.441	0.414	0.438	0.438	0.412	0.43	0.417	0.42	0.444	0.437	0.431	0.428	0.412	0.392	0.402	0.416	0.399	0.405	0.4	0.42	0.438	0.435	0.443	0.454	0.452	0.439	0.459	0.452	0.428	0.45	0.444	0.447	0.466	0.468	0.435	0.452	0.453	0.448	0.465	0.455	0.415	0.435	0.415	0.43	0.456	0.466	0.454	0.46	0.451	0.433	0.45	0.449	0.426	0.443	0.432	0.417	0.428	0.428	0.422	0.421	0.422	0.039	0.036	0.039	0.037	0.044	0.037	0.41	0.428	0.432	0.425	0.433	0.435	0.44	0.418	0.427	0.431	0.037	0.036	0.413	0.426	0.436	0.428	0.439	0.44	0.418	0.449	0.444	0.435	0.448	0.431
120	0.4	0.422	0.43	0.413	0.435	0.434	0.408	0.431	0.427	0.406	0.418	0.406	0.418	0.438	0.439	0.429	0.431	0.424	0.41	0.42	0.418	0.405	0.418	0.408	0.421	0.438	0.427	0.439	0.446	0.45	0.432	0.45	0.428	0.416	0.439	0.427	0.443	0.457	0.461	0.435	0.454	0.456	0.44	0.46	0.452	0.412	0.44	0.424	0.425	0.446	0.455	0.448	0.459	0.45	0.43	0.457	0.453	0.43	0.444	0.436	0.414	0.427	0.426	0.418	0.42	0.42	0.038	0.036	0.038	0.036	0.043	0.036	0.406	0.424	0.428	0.42	0.429	0.43	0.429	0.413	0.431	0.42	0.036	0.036	0.405	0.416	0.426	0.403	0.427	0.431	0.405	0.423	0.424	0.409	0.421	0.421
135	0.399	0.417	0.426	0.41	0.438	0.434	0.409	0.432	0.434	0.407	0.416	0.404	0.412	0.432	0.427	0.419	0.43	0.429	0.408	0.424	0.422	0.411	0.406	0.41	0.425	0.447	0.451	0.444	0.454	0.455	0.435	0.454	0.444	0.42	0.443	0.437	0.435	0.452	0.456	0.434	0.452	0.449	0.437	0.455	0.452	0.414	0.431	0.424	0.431	0.441	0.45	0.447	0.453	0.451	0.437	0.449	0.438	0.428	0.421	0.404	0.416	0.428	0.426	0.421	0.423	0.421	0.038	0.034	0.038	0.035	0.042	0.036	0.405	0.415	0.424	0.424	0.426	0.428	0.434	0.407	0.425	0.432	0.036	0.036	0.398	0.41	0.418	0.4	0.417	0.416	0.4	0.42	0.419	0.404	0.41	0.416
